fiA;fiB;tG(min);prutok(ml/min);p(MPa);tM(min);tD(min);tR 1(min);tR 2(min);tR 3(min);tR 4(min);tR 5(min);tR 6(min);tR 7(min);w 1;w 2;w 3;w 4;w 5;w 6;w 7;VG(ml);B(1/ml);VD(ml);VM(ml);VR 1(ml);VR 2(ml);VR 3(ml); VR 4(ml); VR 5(ml); VR 6(ml); VR 7(ml);F(m3/s);Kf(m2/s);N;u(mm/s);H(mm)
0.01;0.35;15;0.172;14.7;2.75;5.95;6.91;11.66;14.01;14.44;16.47;17.47;19.07;0.17;0.19;0.24;0.19;0.23;0.23;0.28;2.5799999999999996;0.132;1.042067;0.479293;1.18852;2.00552;2.40972;2.48368;2.83284;3.00484;3.28004;2.9663119999999996e-11;8.670499217942265e-14;9161.0;1.145;0.021
0.01;0.35;15;0.137;11.4;3.49;7.40;8.54;13.44;15.74;16.25;18.31;19.34;20.75;0.18;0.22;0.26;0.17;0.23;0.28;0.30;2.055;0.165;1.042067;0.479293;1.16998;1.84128;2.15638;2.22625;2.50847;2.64958;2.84275;2.3627020000000002e-11;8.670499217942265e-14;12482.0;0.903;0.015
0.01;0.35;15;0.075;5.6;6.49;14.52;17.16;22.47;24.04;24.67;26.54;27.41;28.63;0.31;0.32;0.39;0.38;0.45;0.32;0.42;1.125;0.302;1.042067;0.479293;1.287;1.68525;1.803;1.85025;1.9905;2.05575;2.14725;1.2934499999999999e-11;8.670499217942265e-14;16991.0;0.485;0.011
a;0.1868;167.3055;161.0038;159.8137;156.5241;155.5025;154.3689
m;0.0;2479.518;1366.4037;1243.289;900.3174;792.6135;672.0911
RSE;0.007911903;0.0036787;0.010692982;0.007877587;0.009600972;0.011200498;0.018096596
RSS;0.069059238
A;-0.02479;B;0.00986;C;0.03214
