fiA;fiB;tG;prutok;p;tM;tD;tR 1;tR 2;tR 3;tR 4;tR 5;tR 6;tR 7;VG;B;VD;VM;VR 1;VR 2;VR 3; VR 4; VR 5; VR 6; VR 7
0.05;0.5;30;0.00047;21.1;2.49;11.4;3.79;19.17;27.21;28.05;35.11;36.64;39.44
0.05;0.5;30;0.00044;21.1;2.77;12.3;4.11;21.33;29.36;30.44;36.42;37.99;41.46
0.05;0.5;30;0.00034;21.1;3.03;14.2;4.77;22.8;30.71;31.41;37.27;38.98;42.12
0.05;0.5;30;0.00023;21.1;3.63;16.6;5.28;24.11;31.79;32.22;37.56;39.32;41.15
